               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.044847,            0.029619,            0.016152,                   0,                   0,                   0,                   0,            0.033143,           0.0068745,           0.0081389,            0.005941,            0.005941,            0.005941
                 125,            0.044771,             0.02777,            0.016636,                   0,                   0,                   0,                   0,            0.032458,           0.0070007,           0.0082291,            0.005908,            0.005908,            0.005908
                 126,            0.049273,            0.028111,             0.01724,                   0,                   0,                   0,                   0,            0.032681,           0.0069316,           0.0082558,            0.005875,            0.005875,            0.005875
                 127,            0.055206,            0.025862,            0.019051,                   0,                   0,                   0,                   0,             0.03276,           0.0069074,           0.0083289,            0.005842,            0.005842,            0.005842
                 128,            0.059085,            0.029837,            0.017056,                   0,                   0,                   0,                   0,            0.032897,           0.0069408,           0.0083445,            0.005809,            0.005809,            0.005809
                 129,            0.052099,            0.028347,            0.022554,                   0,                   0,                   0,                   0,            0.033541,           0.0067413,           0.0084486,            0.005776,            0.005776,            0.005776
                 130,            0.043048,            0.027247,            0.019739,                   0,                   0,                   0,                   0,            0.033656,           0.0067821,           0.0084663,            0.005743,            0.005743,            0.005743
                 131,            0.049974,            0.024361,            0.021448,                   0,                   0,                   0,                   0,             0.03474,           0.0064759,           0.0083369,             0.00571,             0.00571,             0.00571
                 132,            0.052459,            0.024515,            0.019733,                   0,                   0,                   0,                   0,            0.034979,           0.0064235,           0.0082111,            0.005677,            0.005677,            0.005677
                 133,            0.057382,            0.026861,            0.017651,                   0,                   0,                   0,                   0,            0.035229,           0.0063958,           0.0081734,            0.005644,            0.005644,            0.005644
                 134,             0.05427,            0.028296,            0.019903,                   0,                   0,                   0,                   0,             0.03534,           0.0064232,           0.0081483,            0.005611,            0.005611,            0.005611
                 135,            0.046532,            0.031666,            0.016798,                   0,                   0,                   0,                   0,            0.035526,           0.0064937,           0.0080747,            0.005578,            0.005578,            0.005578
